id,promise_status,score_yes,score_no,model_family,mode,finetune_path,prompt_id,prompt_path,run_id,source,raw_prediction
12030,No,,,/models/unsloth-gemma-4-12b,gemma_fallback:t=0.6,/models/gemma4_st12_mix,,,submit_9_stage1,gemma_fallback,"{""promise_status"":""No"",""promise_str"":"""",""evidence_status"":""N/A"",""evidence_str"":""""}<end_of_turn>
<eos>"
12059,No,,,/models/unsloth-gemma-4-12b,gemma_fallback:t=0.6,/models/gemma4_st12_mix,,,submit_9_stage1,gemma_fallback,"{""promise_status"":""No"",""promise_str"":"""",""evidence_status"":""N/A"",""evidence_str"":""""}<end_of_turn>
<eos>"
12061,Yes,,,/models/unsloth-gemma-4-12b,gemma_fallback:t=0.6,/models/gemma4_st12_mix,,,submit_9_stage1,gemma_fallback,"{""promise_status"":""Yes"",""promise_str"":""透過外派輪調讓具潛力同仁得以歷練不同地區職務，並藉以擴充全球研發量能。"",""evidence_status"":""Yes"",""evidence_str"":""歷練條件分為跨功能、跨組織、跨地區三大項，並將外派輪調加速政策結合晉升制度，列入其審核條件，同步與各區協作，提早為關鍵人才職涯佈局，確保人才承擔重要職責時，能有相應的經驗與磨練。另外也訂定晉升專業職的判斷指標，作為技術委員會及人事評議委員會的審核參考。2024 年關鍵人才輪調滿兩年比例較去年增加 5%，其中外派比例較去年增加 6%。""}<end_of_turn>
<eos>"
12066,No,,,/models/unsloth-gemma-4-12b,gemma_fallback:t=0.6,/models/gemma4_st12_mix,,,submit_9_stage1,gemma_fallback,"{""promise_status"":""No"",""promise_str"":"""",""evidence_status"":""N/A"",""evidence_str"":""""}<end_of_turn>
<eos>"
12076,No,,,/models/unsloth-gemma-4-12b,gemma_fallback:t=0.6,/models/gemma4_st12_mix,,,submit_9_stage1,gemma_fallback,"{""promise_status"":""No"",""promise_str"":"""",""evidence_status"":""N/A"",""evidence_str"":""""}<end_of_turn>
<eos>"
12078,No,,,/models/unsloth-gemma-4-12b,gemma_fallback:t=0.6,/models/gemma4_st12_mix,,,submit_9_stage1,gemma_fallback,"{""promise_status"":""No"",""promise_str"":"""",""evidence_status"":""N/A"",""evidence_str"":""""}<end_of_turn>
<eos>"
12080,No,,,/models/unsloth-gemma-4-12b,gemma_fallback:t=0.6,/models/gemma4_st12_mix,,,submit_9_stage1,gemma_fallback,"{""promise_status"":""No"",""promise_str"":"""",""evidence_status"":""N/A"",""evidence_str"":""""}<end_of_turn>
<eos>"
12083,No,,,/models/unsloth-gemma-4-12b,gemma_fallback:t=0.6,/models/gemma4_st12_mix,,,submit_9_stage1,gemma_fallback,"{""promise_status"":""No"",""promise_str"":"""",""evidence_status"":""N/A"",""evidence_str"":""""}<end_of_turn>
<eos>"
12088,No,,,/models/unsloth-gemma-4-12b,gemma_fallback:t=0.6,/models/gemma4_st12_mix,,,submit_9_stage1,gemma_fallback,"{""promise_status"":""Yes"",""promise_str"":""我們希望通過這些捐贈，為社會發展盡一份力量，實現更美好的未來。"",""evidence_status"":""Yes"",""evidence_str"":""我們捐贈給清華大學的動機系賽車隊、DIT 機器人項目以及動手做獎助金，這些捐贈不僅支持了學生們在科技和創新領域的發展，也鼓勵了他們的實踐能力和團隊合作精神。另外，我們也參與了清華大學的旭日獎學金計畫，這個計畫不僅提供了經濟援助，還鼓勵學術和社會貢獻方面的卓越表現。同時，我們也在中興大學、成功大學設立了獎助金，幫助更多有才華的學子實現他們的學術夢想。 在社會發展方面，我們也不遺餘力。我們捐贈了都市更新計畫，這有助於改善城市的基礎設施和環境，提升居民的生活品質。同時，我們也關心健康領域，捐贈給門諾醫院的東部護理人員培育計畫，這有助於提升醫療服務的質量和效率，保障人民的健康。最後，我們也通過博幼基金會捐贈筆電，這"
12099,Yes,,,/models/unsloth-gemma-4-12b,gemma_fallback:t=0.6,/models/gemma4_st12_mix,,,submit_9_stage1,gemma_fallback,"{""promise_status"":""Yes"",""promise_str"":""能源匱乏風險  • 導入能源管理措施  • 設備改善並優化製程，提升生產效能  • 推動能源管理體系"",""evidence_status"":""No"",""evidence_str"":""""}<end_of_turn>
<eos>"
12105,No,,,/models/unsloth-gemma-4-12b,gemma_fallback:t=0.6,/models/gemma4_st12_mix,,,submit_9_stage1,gemma_fallback,"{""promise_status"":""No"",""promise_str"":"""",""evidence_status"":""N/A"",""evidence_str"":""""}<end_of_turn>
<eos>"
12153,No,,,/models/unsloth-gemma-4-12b,gemma_fallback:t=0.6,/models/gemma4_st12_mix,,,submit_9_stage1,gemma_fallback,"{""promise_status"":""No"",""promise_str"":"""",""evidence_status"":""N/A"",""evidence_str"":""""}<end_of_turn>
<eos>"
12223,No,,,/models/unsloth-gemma-4-12b,gemma_fallback:t=0.6,/models/gemma4_st12_mix,,,submit_9_stage1,gemma_fallback,"{""promise_status"":""No"",""promise_str"":"""",""evidence_status"":""N/A"",""evidence_str"":""""}<end_of_turn>
<eos>"
12224,No,,,/models/unsloth-gemma-4-12b,gemma_fallback:t=0.6,/models/gemma4_st12_mix,,,submit_9_stage1,gemma_fallback,"{""promise_status"":""No"",""promise_str"":"""",""evidence_status"":""N/A"",""evidence_str"":""""}<end_of_turn>
<eos>"
12246,Yes,,,/models/unsloth-gemma-4-12b,gemma_fallback:t=0.6,/models/gemma4_st12_mix,,,submit_9_stage1,gemma_fallback,"{""promise_status"":""Yes"",""promise_str"":""兆豐金控力拚減碳之企圖與邁向淨零排放之決心。"",""evidence_status"":""Yes"",""evidence_str"":""天下雜誌參考聯合國「絕對全球溫度變化潛勢模型 (AGTP)」方法學建置「企業減碳溫度計」，評估國內企業減碳承諾是否符合聯合國「巴黎協定」之目標。兆豐金控於數百家企業中脫穎而出，獲頒「成效卓越企業」之殊榮，2024 年 6 月 4 日受邀參加天下雜誌「企業 1.5°C 論壇」，""}<end_of_turn>
<eos>"
